Address State,Latitude,Longitude
"217 Summit Boulevard Birmingham, AL 35243 ",33.451577376482575,-86.73083386362529
"320 The Bridge Street Huntsville, AL 35806 ",34.7141673,-86.6727989
"320 West 5th Avenue Anchorage, AK 99501 ",61.2170817,-149.8897613
"3111 W Chandler Boulevard Chandler, AZ 85226 ",33.3054093,-111.9465835
"2218 E. Williams Field Road Gilbert, AZ 85295 ",33.3087607,-111.7426461
"7700 West Arrowhead Towne Ctr Glendale, AZ 85308 ",33.6393606,-112.22790243714346
"7014 East Camelback Road Scottsdale, AZ 85251 ",33.50306845,-111.931769262277
"15169 North Scottsdale Road Scottsdale, AZ 85254 ",33.6179197,-111.9258697
"17711 Chenal Parkway Little Rock, AR 72223 ",34.780382,-92.46567
"2701 Ming Avenue Bakersfield, CA 93304 ",35.3373601,-119.03564131012669
"1823 4th Street Berkeley, CA 94710 ",37.8693461,-122.30014450911548
"1016C Brea Mall Brea, CA 92821 ",33.9149363,-117.88640435180383
"1301 Burlingame Avenue Burlingame, CA 94010 ",37.578268300000005,-122.34708867433159
"6600 Topanga Canyon Boulevard Canoga Park, CA 91303 ",34.1911367,-118.6024545
"1923 Calle Barcelona Carlsbad, CA 92009 ",33.0722774,-117.2652965
"242 Los Cerritos Center Cerritos, CA 90703 ",33.86299175,-118.09423192666885
"2015 Birch Road Chula Vista, CA 91915 ",32.6228166,-116.9641519
"1520 Redwood Highway Corte Madera, CA 94925 ",37.9286288,-122.5143147
"3333 Bear Street Costa Mesa, CA 92626 ",33.6923525,-117.89385626101048
"One Infinite Loop Cupertino, CA 95014 ",37.3323616,-122.028562
"5640 Bay Street Emeryville, CA 94608 ",37.8362387,-122.2922315
"272 E Via Rancho Parkway Escondido, CA 92025 ",33.0710391,-117.065649194573
"645 E. Shaw Avenue Fresno, CA 93710 ",36.80652875,-119.77670323214124
"877 Americana Way Glendale, CA 91210 ",34.1443979,-118.2570514
"930 Spectrum Center Drive Irvine, CA 92618 ",33.648645849999994,-117.74064596367351
"189 The Grove Drive Los Angeles, CA 90036 ",34.0724002,-118.359047
"802 S Broadway Los Angeles, CA 90014 ",34.043458799999996,-118.25452018117771
"8500 Beverly Boulevard Los Angeles, CA 90048 ",34.075718,-118.3770471
"10250 Santa Monica Boulevard Los Angeles, CA 90067 ",34.05891595,-118.41934817215859
"23 N. Santa Cruz Avenue Los Gatos, CA 95030 ",37.2232128964813,-121.98365677411248
"3200 Sepulveda Boulevard Manhattan Beach, CA 90266 ",33.8896099,-118.3960805
"936C Shops at Mission Viejo Mission Viejo, CA 92691 ",33.5567915,-117.669479
"3401 Dale Road Modesto, CA 95356 ",37.688271,-121.04975117346939
"240 Del Monte Center Monterey, CA 93940 ",36.6007933,-121.8691196
"1113 Newport Center Drive Newport Beach, CA 92660 ",33.614093741662685,-117.87788283167161
"9301 Tampa Avenue Northridge, CA 91324 ",34.2384541,-118.5556561
"379 Stanford Shopping Center Palo Alto, CA 94304 ",37.44372438676893,-122.17213709561402
"340 University Avenue Palo Alto, CA 94301 ",37.44632005,-122.16069013327441
"54 West Colorado Boulevard Pasadena, CA 91105 ",34.1453734,-118.15161285020596
"1151 Galleria Boulevard Roseville, CA 95678 ",38.7734874,-121.2699012
"1689 Arden Way Sacramento, CA 95815 ",38.603327,-121.42853
"4305 La Jolla Village Drive San Diego, CA 92122 ",32.872389,-117.2143294
"7007 Friars Road San Diego, CA 92108 ",32.7684703,-117.1661746
"2125 Chestnut Street San Francisco, CA 94123 ",37.800267399999996,-122.43830119591222
"3251 20th Avenue San Francisco, CA 94132 ",37.7288821,-122.4758749
"300 Post Street San Francisco, CA 94108 ",37.78867285,-122.4071630998651
"925 Blossom Hill Road San Jose, CA 95123 ",37.2514613,-121.862432203748
"899 Higuera Street San Luis Obispo, CA 93401 ",35.2803793,-120.6617088
"928 State Street Santa Barbara, CA 93101 ",34.421419,-119.701206
"2855 Stevens Creek Boulevard Santa Clara, CA 95050 ",37.32534475,-121.94486885482497
"1415 Third Street Promenade Santa Monica, CA 90401 ",34.015418749999995,-118.49534721000126
"14006 Riverside Drive Sherman Oaks, CA 91423 ",34.15752687755102,-118.43558887755101
"40764 Winchester Road Temecula, CA 92591 ",33.52511646910417,-117.15937313906427
"432 West Hillcrest Drive Thousand Oaks, CA 91360 ",34.18628707556168,-118.88620273660983
"1200 S. Main Street Walnut Creek, CA 94596 ",37.896680104320225,-122.05981326765017
"1755 29th Street Boulder, CO 80301 ",40.01788055,-105.25637301937047
"3000 E 1st Avenue Denver, CO 80206 ",39.71661385,-104.9524962669206
"7301 S Santa Fe Drive Littleton, CO 80120 ",39.5864128,-105.0238218
"356 Greenwich Avenue Greenwich, CT 06830 ",41.0232979,-73.6254111
"65 Broadway New Haven, CT 06511 ",41.3118343,-72.9309674
"100 N. Water Street Norwalk, CT 06854 ",41.10479035,-73.4185663157632
"401 Evergreen Walk South Windsor, CT 06074 ",41.81259215,-72.55679831205728
"5065 Main Street Trumbull, CT 06611 ",41.2296892,-73.2264574
"801 K Street NW Washington, DC 20001 ",38.90256765,-77.02295327486806
"1229 Wisconsin Avenue NW Washington, DC 20007 ",38.90593055,-77.0623995700689
"451 E Altamonte Drive Altamonte Springs, FL 32701 ",28.666781,-81.3773282
"19501 Biscayne Boulevard Aventura, FL 33180 ",25.9557677,-80.1416715
"6000 Glades Road Boca Raton, FL 33431 ",26.3625801,-80.1326395
"459 Brandon Town Center Drive Brandon, FL 33511 ",27.93144396976842,-82.32310376791557
"2388 E. Sunrise Boulevard Fort Lauderdale, FL 33304 ",26.137724391297258,-80.11507870454706
