,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
'Irv Grousbeck',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Rob Johnson ',12.0,0.0,2.0,0.0,7.0,21.0,0.5714285714285714,0.09523809523809523,0.3333333333333333
'Bill Egan ',75.0,0.0,16.0,0.0,33.0,124.0,0.6048387096774194,0.12903225806451613,0.2661290322580645
 'Mark Egan ',34.0,0.0,7.0,0.0,26.0,67.0,0.5074626865671642,0.1044776119402985,0.3880597014925373
 'Jim Southern',74.0,0.0,18.0,0.0,24.0,116.0,0.6379310344827587,0.15517241379310345,0.20689655172413793
'Will Thorndike',106.0,2.0,23.0,1.0,54.0,186.0,0.5698924731182796,0.12365591397849462,0.3064516129032258
'Jim Southern',100.0,0.0,22.0,0.0,31.0,153.0,0.6535947712418301,0.1437908496732026,0.20261437908496732
'Jeff Stevens',94.0,0.0,30.0,2.0,37.0,163.0,0.5766871165644172,0.18404907975460122,0.2392638036809816
 'Ashley Giesler',94.0,0.0,30.0,2.0,36.0,162.0,0.5802469135802469,0.18518518518518517,0.2345679012345679
 'Michael De Anda ',8.0,0.0,2.0,0.0,0.0,10.0,0.8,0.2,0.0
" ""MK O'Connell""",35.0,0.0,6.0,0.0,14.0,55.0,0.6363636363636364,0.10909090909090909,0.2545454545454545
" ""Michael F O'Connell""",49.0,0.0,11.0,0.0,10.0,70.0,0.7,0.15714285714285714,0.14285714285714285
 'Bill Egan ',71.0,0.0,15.0,0.0,33.0,119.0,0.5966386554621849,0.12605042016806722,0.2773109243697479
'Howard Stevenson ',20.0,0.0,5.0,0.0,1.0,26.0,0.7692307692307693,0.19230769230769232,0.038461538461538464
 'Craig Burr ',44.0,0.0,5.0,0.0,13.0,62.0,0.7096774193548387,0.08064516129032258,0.20967741935483872
'Rob Marks ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'David Niemiec ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Rick Stratford',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Craig Burr ',50.0,0.0,8.0,0.0,13.0,71.0,0.704225352112676,0.11267605633802817,0.18309859154929578
 'John Gaylord ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Linc Holland ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Greg Kaufman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Carl Martignetti ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'David Morrison ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Adrian Slywotzky ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tim Solso ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Al Weatherhead ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jonathan West ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Steven Wheelwright',15.0,0.0,1.0,0.0,0.0,16.0,0.9375,0.0625,0.0
'Elaine Boxer ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Hiroshi Mikitani ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Howard Stevenson ',19.0,0.0,5.0,0.0,1.0,25.0,0.76,0.2,0.04
'Tom Cassutt',70.0,0.0,14.0,0.0,20.0,104.0,0.6730769230769231,0.1346153846153846,0.19230769230769232
