COUNTY,COUNT LOANS,SUM AVG VALUE LOANS
36103,4458," $2,923,725,000 "
72113,95," $49,050,000 "
72001,1," $250,000 "
72003,0, $-   
72005,14," $5,625,000 "
72071,7," $3,425,000 "
72099,19," $9,700,000 "
72093,0, $-   
72011,4," $1,425,000 "
72141,3," $1,175,000 "
72017,0, $-   
72054,8," $3,275,000 "
72065,0, $-   
72013,44," $22,675,000 "
72091,4," $1,425,000 "
72023,9," $2,675,000 "
72097,30," $16,250,000 "
72059,7," $3,850,000 "
72111,7," $2,600,000 "
72027,3," $1,175,000 "
72081,6," $4,000,000 "
72121,13," $9,025,000 "
72039,0, $-   
72107,0, $-   
72051,37," $26,325,000 "
72137,21," $10,750,000 "
72143,19," $10,650,000 "
72135,32," $21,725,000 "
72055,0, $-   
72153,5," $2,100,000 "
72067,30," $16,650,000 "
72115,1," $250,000 "
72073,2," $500,000 "
72079,0, $-   
72083,0, $-   
72145,5," $2,925,000 "
72101,29," $10,225,000 "
72131,14," $6,025,000 "
72117,4," $2,275,000 "
72125,0, $-   
72041,0, $-   
72007,97," $66,000,000 "
72123,5," $2,100,000 "
72009,0, $-   
72043,15," $6,700,000 "
72035,11," $5,700,000 "
72095,0, $-   
72015,2," $1,350,000 "
72103,10," $5,450,000 "
72127,536," $363,750,000 "
72019,4," $1,425,000 "
72105,10," $3,350,000 "
72075,0, $-   
72119,0, $-   
72025,45," $26,625,000 "
72109,3," $2,000,000 "
72063,7," $1,750,000 "
72129,0, $-   
72087,2," $500,000 "
72031,99," $65,600,000 "
72029,18," $14,475,000 "
72037,0, $-   
72053,11," $5,675,000 "
72089,4," $1,000,000 "
72045,3," $1,600,000 "
72069,6," $3,600,000 "
72133,0, $-   
72147,0, $-   
72149,2," $500,000 "
72151,4," $2,675,000 "
72085,18," $10,275,000 "
72049,0, $-   
72077,0, $-   
72033,77," $39,250,000 "
72139,102," $73,150,000 "
72047,0, $-   
72057,7," $11,175,000 "
78030,93," $40,400,000 "
78010,67," $37,500,000 "
78020,11," $3,600,000 "
72061,196," $139,875,000 "
72021,113," $61,125,000 "
25013,933," $601,475,000 "
25011,127," $75,350,000 "
25015,303," $178,525,000 "
25027,1807," $1,129,625,000 "
25003,278," $165,000,000 "
25017,4361," $3,115,075,000 "
25021,2224," $1,596,050,000 "
25009,2098," $1,322,900,000 "
25025,2864," $2,124,000,000 "
25023,1177," $770,100,000 "
25005,995," $637,950,000 "
25001,787," $432,200,000 "
25007,85," $34,350,000 "
25019,101," $36,275,000 "
44005,196," $120,850,000 "
44007,1338," $870,475,000 "
44009,262," $126,600,000 "
44001,88," $47,425,000 "
44003,557," $366,975,000 "
33011,858," $547,550,000 "
33015,1160," $678,350,000 "
33013,396," $271,700,000 "
33017,232," $130,725,000 "
33009,202," $124,300,000 "
33001,142," $84,650,000 "
33003,117," $49,550,000 "
33019,110," $66,600,000 "
33005,139," $80,450,000 "
33007,56," $35,025,000 "
23031,380," $197,325,000 "
23005,922," $605,075,000 "
23023,120," $70,850,000 "
23017,62," $32,650,000 "
23001,227," $171,200,000 "
23007,28," $14,475,000 "
23011,215," $138,750,000 "
23015,74," $36,950,000 "
23027,41," $23,600,000 "
23019,348," $221,000,000 "
23021,22," $16,650,000 "
23009,107," $56,550,000 "
23029,39," $31,925,000 "
23003,108," $64,075,000 "
23025,60," $29,950,000 "
23013,83," $39,275,000 "
50027,111," $65,100,000 "
50017,50," $37,625,000 "
50005,18," $9,150,000 "
50023,176," $86,375,000 "
50025,107," $67,500,000 "
50003,70," $45,525,000 "
50021,103," $53,275,000 "
50007,622," $427,175,000 "
50013,2," $500,000 "
50011,40," $23,250,000 "
50015,62," $49,750,000 "
50001,98," $43,050,000 "
50019,54," $31,425,000 "
50009,25," $23,400,000 "
9003,2152," $1,482,175,000 "
9005,451," $253,475,000 "
9007,409," $236,775,000 "
9013,329," $198,875,000 "
9009,1979," $1,309,850,000 "
9015,149," $100,300,000 "
9011,459," $256,900,000 "
9001,2592," $1,665,725,000 "
34023,1866," $1,355,500,000 "
34017,811," $553,875,000 "
34013,1611," $1,131,650,000 "
34027,1735," $1,200,025,000 "
34031,1076," $696,650,000 "
34003,3206," $2,227,825,000 "
34039,1911," $1,327,725,000 "
34035,1350," $1,023,100,000 "
34037,179," $110,075,000 "
34025,1733," $1,065,150,000 "
34029,1091," $607,225,000 "
34041,167," $101,950,000 "
34019,185," $98,300,000 "
34033,185," $111,150,000 "
34007,1026," $704,925,000 "
34005,1025," $689,400,000 "
34015,556," $403,850,000 "
34001,521," $318,725,000 "
34009,243," $98,425,000 "
34011,88," $46,625,000 "
34021,675," $424,925,000 "
36061,12610," $9,659,425,000 "
36085,570," $378,125,000 "
36005,919," $725,150,000 "
36119,2654," $1,843,475,000 "
36079,146," $73,100,000 "
36027,475," $288,150,000 "
36087,792," $547,800,000 "
36071,475," $280,825,000 "
36105,155," $88,275,000 "
36081,3222," $2,334,900,000 "
36059,3704," $2,508,175,000 "
36047,3854," $2,739,500,000 "
36001,913," $650,075,000 "
36093,137," $85,475,000 "
36091,487," $250,675,000 "
36035,76," $49,625,000 "
36057,69," $43,100,000 "
36039,52," $19,725,000 "
36021,133," $72,275,000 "
36083,243," $145,350,000 "
36095,26," $17,250,000 "
36115,79," $44,200,000 "
36041,6," $2,350,000 "
36077,30," $19,150,000 "
36025,106," $54,450,000 "
36111,408," $197,800,000 "
36113,170," $92,125,000 "
36031,60," $33,400,000 "
36019,134," $67,350,000 "
36033,37," $24,850,000 "
36089,109," $67,775,000 "
36067,1254," $908,950,000 "
36011,85," $45,125,000 "
36075,111," $60,350,000 "
36053,31," $18,875,000 "
36065,307," $212,000,000 "
36023,87," $48,875,000 "
36017,49," $28,375,000 "
36109,176," $93,050,000 "
36099,77," $42,800,000 "
36045,184," $113,100,000 "
36117,132," $82,250,000 "
36043,170," $93,025,000 "
36049,28," $13,750,000 "
36007,202," $152,375,000 "
36107,145," $87,275,000 "
36029,2230," $1,522,975,000 "
36063,312," $193,275,000 "
36037,108," $88,250,000 "
36121,56," $24,975,000 "
36009,93," $51,875,000 "
36073,82," $49,425,000 "
36003,54," $36,725,000 "
36013,184," $111,525,000 "
36055,1740," $1,262,850,000 "
36051,70," $39,825,000 "
36123,30," $15,800,000 "
36101,52," $27,175,000 "
36069,143," $83,950,000 "
36097,68," $42,950,000 "
36015,133," $106,800,000 "
42003,2904," $2,029,475,000 "
42007,299," $214,750,000 "
42125,512," $387,325,000 "
42129,807," $529,275,000 "
42051,195," $107,875,000 "
42019,451," $316,350,000 "
42059,26," $21,775,000 "
42111,63," $53,800,000 "
