,Address,City,State,Zip Code,Full Address,Latitude,Longitude
0,5600 Debarr Rd Ste 9,Anchorage,AK,3513-125945,"5600 Debarr Rd Ste 9, Anchorage, AK",61.208219099999994,-149.77710520103446
1,1725 Abbott Rd,Anchorage,AK,74352-84449,"1725 Abbott Rd, Anchorage, AK",61.142278149999996,-149.8438075117241
2,1501 Huffman Rd,Anchorage,AK,12449-152385,"1501 Huffman Rd, Anchorage, AK",61.109397200000004,-149.8537425119875
3,320 W. 100th Ave,Anchorage,AK,24936-233524,"320 W. 100th Ave, Anchorage, AK",61.1302441,-149.8844685
4,1005 E Dimond Blvd,Anchorage,AK,8973-85630,"1005 E Dimond Blvd, Anchorage, AK",61.144815,-149.86370334678
5,1000 E Northern Lights Blvd,Anchorage,AK,72788-84447,"1000 E Northern Lights Blvd, Anchorage, AK",61.19520000502513,-149.86418031658292
6,3101 PENLAND PKWY.,Anchorage,AK,79549-106150,"3101 PENLAND PKWY., Anchorage, AK",61.215829049999996,-149.81700165
8,110 W. Tudor Rd,Anchorage,AK,11426-99254,"110 W. Tudor Rd, Anchorage, AK",61.180727,-149.884193
9,7701 Debarr Road,Anchorage,AK,20349-108249,"7701 Debarr Road, Anchorage, AK",61.209810535035324,-149.73716199726093
10,7731 E Northern Lights Blvd,Anchorage,AK,74266-52019,"7731 E Northern Lights Blvd, Anchorage, AK",61.196645000000004,-149.73613580167614
11,2300 Abbott Road,Anchorage,AK,72727-61659,"2300 Abbott Road, Anchorage, AK",61.13744,-149.837601
12,1200 N Muldoon Rd,Anchorage,AK,76943-129964,"1200 N Muldoon Rd, Anchorage, AK",61.23079111989174,-149.7425594710109
13,2000 W Dimond Blvd,Anchorage,AK,72784-33081,"2000 W Dimond Blvd, Anchorage, AK",61.137777,-149.916526
14,2421 East Tudor Road,Anchorage,AK,9622-85633,"2421 East Tudor Road, Anchorage, AK",61.18092,-149.837272225297
16,4000 W Dimond Blvd,Anchorage,AK,79664-81037,"4000 W Dimond Blvd, Anchorage, AK",61.1365928,-149.952512
17,320 West 5th Avenue,Anchorage,AK,28191-249962,"320 West 5th Avenue, Anchorage, AK",61.2170817,-149.8897613
20,5000 W Intl Airport Rd,Anchorage,AK,75697-94324,"5000 W Intl Airport Rd, Anchorage, AK",61.18103525,-149.99789189730433
21,1650 W Northern Lights Blvd,Anchorage,AK,74430-51979,"1650 W Northern Lights Blvd, Anchorage, AK",61.19521333516453,-149.91600398967105
22,1142 N. Muldoon Road,Anchorage,AK,17941-159568,"1142 N. Muldoon Road, Anchorage, AK",61.230951116750234,-149.7425278084747
23,320 West 5th Avenue,Anchorage,AK,19819-178265,"320 West 5th Avenue, Anchorage, AK",61.2170817,-149.8897613
24,11409 Business Blvd,Eagle River,AK,74265-64199,"11409 Business Blvd, Eagle River, AK",61.323704479916394,-149.57353086813993
26,13401 Old Glenn Hwy,Eagle River,AK,72772-78880,"13401 Old Glenn Hwy, Eagle River, AK",61.339646,-149.561267
28,30 College Rd,Fairbanks,AK,74452-94707,"30 College Rd, Fairbanks, AK",64.85173435,-147.7009677393063
29,3755 Airport Way,Fairbanks,AK,72709-33079,"3755 Airport Way, Fairbanks, AK",64.8368367,-147.7784936
30,6450 Airport Way,Fairbanks,AK,27150-246609,"6450 Airport Way, Fairbanks, AK",64.81761,-147.86784231862563
31,930 Old Steese Hwy,Fairbanks,AK,72975-95761,"930 Old Steese Hwy, Fairbanks, AK",64.85467865,-147.69034397106464
34,90 Sterling Hwy,Homer,AK,74917-98110,"90 Sterling Hwy, Homer, AK",59.6433422,-151.53417531795645
35,303 Vintage Blvd,Juneau,AK,74283-69901,"303 Vintage Blvd, Juneau, AK",58.3723835,-134.5969202
36,8181 Old Glacier Hwy,Juneau,AK,79324-94693,"8181 Old Glacier Hwy, Juneau, AK",58.347724,-134.4934055
37,2417 Tongass Ave,Ketchikan,AK,74640-93401,"2417 Tongass Ave, Ketchikan, AK",55.34832565,-131.6735028459526
38,2685 Mill Bay Rd,Kodiak,AK,74474-94708,"2685 Mill Bay Rd, Kodiak, AK",57.8107849,-152.3675845517315
39,301 N Santa Claus Lane,North Pole,AK,25843-94709,"301 N Santa Claus Lane, North Pole, AK",64.7575308,-147.3542560438551
40,664 W Evergreen Ave,Palmer,AK,15313-159926,"664 W Evergreen Ave, Palmer, AK",61.5982811,-149.127649
41,650 N Cobb St,Palmer,AK,72980-94694,"650 N Cobb St, Palmer, AK",61.6084764,-149.118281
42,1907 Seward Hwy,Seward,AK,74706-97007,"1907 Seward Hwy, Seward, AK",60.126001099999996,-149.436570028755
