,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates,search time
0,Nova Capital  ,Single Sponsor,1984-01-01,"Boston, MA, United States",Acquired,Uniform Printing,1984-01-01,420,,,Business Services,"Fort Worth, TX, United States",['Jim\xa0Southern'],['Irv\xa0Grousbeck'],[],0.0
1,Galena Corp  Harvard University - Harvard Business School,Traditional,1985-06-01,"Palo Alto, CA, United States",Acquired,"Alta Colleges, Inc.",1987-06-01,496,,,Consumer Services,"Denver, CO, United States","['Jamie\xa0Turner ', 'Kirk\xa0Riedinger']",['Rob\xa0Johnson '],[],730.0
2,Hanover West  ,Traditional,1986-01-01,"Washington, DC, United States",Acquired,Atlas Container Corporation,1988-11-01,501,,http://atlascontainer.com/,Manufacturing,"Severn, MD, United States","['Paul\xa0Centenari ', 'Peter\xa0Centenari ']",[],[],1035.0
3,David Dodson - 1st Fund  Stanford University - Graduate School of Business,Traditional,1987-06-01,"Stanford, CA, United States",Acquired,Smith Alarm Systems,1989-01-01,418,,,Business Services,,['David\xa0Dodson'],"['Bill\xa0Egan ', 'Mark\xa0Egan ', 'Jim\xa0Southern']",[],580.0
4,Balkin Corp  Stanford University,Traditional,1991-01-01,"Redwood City, CA, United States",Acquired,Western Cable Systems,1991-01-01,430,,,Utilities,"San Francisco, CA, United States",['Jeff\xa0Stevens'],[],[],0.0
5,Braden Partners  ,Traditional,1990-01-01,"Palo Alto, CA, United States",Acquired,Med-Mart now known as Pacific Pulmonary Services,1993-01-01,415,,http://www.ppsc.com/,Healthcare,"Novato, California, United States","['Peter\xa0Kelly', 'Leon\xa0Winters', 'Paul\xa0White ']",['Will\xa0Thorndike'],[],1096.0
6,Sverica International  ,Traditional,1993-01-01,"San Francisco, CA, United States",Acquired,Cameraworld.com,1994-01-01,579,sverica.com,,Retail,Portland,"['Sandro\xa0Mina', 'Martin\xa0Steber', 'Gunnar\xa0Bjorklund ', 'Nick\xa0Babchuk ']",[],[],365.0
7,Pathfinder Capital  ,Self Funded,1993-03-01,"Toronto, ON, Canada",Acquired,Chapters Inc (formed from buyouts of SmithBooks in 1994 and Coles in 1995 (Canada’s two largest book retailers),1994-01-01,419,,https://www.chapters.indigo.ca/en-ca/,Retail,"Etobicoke, Toronto, Ontario, Canada","['Larry\xa0Stevenson ', 'Harry\xa0Yanowitz ', 'Pamela\xa0(Spielmann) Stevenson']",[],[],306.0
8,Amersham Corp.  Harvard University - Harvard Business School,Traditional,1993-06-01,"Van Nuys, CA",Acquired,"Terry Hinge & Hardware, dba Terry Industrial",1994-01-01,407,,,Manufacturing,"Van Nuys, CA",['Andrew\xa0Cousin'],['Jim\xa0Southern'],[],214.0
9,Simon Webster Search Fund  ,Traditional,1991-01-01,"London, United Kingdom",Acquired,RSL,1994-01-01,679,,http://rslsteeper.com/,Healthcare,"London, United Kingdom",['Simon\xa0Webster'],[],[],1096.0
10,Falcon Capital Corp. ,Traditional,1993-01-06,"Stanford, CA, United States",Acquired,"ADAP, Inc",1995-01-06,417,,,Wholesale,"Boston, MA, USA",['David\xa0Dodson'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler']",[],730.0
11,Mill River Corporation ,Traditional,1994-01-01,"Palo Alto, CA, United States",Acquired,Road Rescue Inc. (now Asurion),1995-07-01,423,,http://www.asurion.com/,Business Services,"Houston, TX, United States","['Kevin\xa0Taweel', 'Jim\xa0Ellis']","['Will\xa0Thorndike', 'Michael\xa0De Anda ', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell""]","['Ashley\xa0Giesler', 'Doug\xa0Tudor ', 'Bret\xa0Comolli', 'Gerald\xa0Risk']",546.0
12,Gene Baker Search Fund  ,Traditional,1995-01-01,"Palo Alto, CA, United States",Acquired,Hudson Bend Corp.,1996-01-01,421,,,Manufacturing,"Oakland, CA, United States",['Gene\xa0Baker '],[],[],365.0
13,Sansair Corporation  ,Traditional,1991-09-09,"Palo Alto, CA, United States",Acquired,Carillon Assisted Living,1996-01-01,558,,http://www.carillonassistedliving.com/,Healthcare,"Raleigh, NC 27606, United States",['Karen\xa0Moriarty'],"['Will\xa0Thorndike', 'Jim\xa0Southern', 'Bill\xa0Egan ']",[],1575.0
14,"Redwood Partners, Inc.  ",Traditional,1994-04-01,"Los Angeles, CA, USA",Acquired,"Classic Party Rentals, Inc. (formerly Event Rentals, Inc)",1996-01-01,958,,,Consumer Services,"Los Angeles, CA, USA",['John\xa0Moran '],['Will\xa0Thorndike'],[],640.0
15,The Nexus Group  ,Traditional,1995-01-01,"Salt Lake City, UT, USA",Acquired,retail stores,1997-01-01,807,,,Retail,,['Doug\xa0Wells'],[],[],731.0
16,Russell Poore  ,Self Funded,1996-10-01,"Salt Lake City, UT, United States",Acquired,US Shred,1998-01-01,416,,,Business Services,"AZ, USA",['Russell\xa0Poore '],[],[],457.0
17,Presidio Partners  ,Traditional,1996-06-01,"San Francisco, CA, United States",Acquired,Clear Creek Environmental,1998-01-01,268,,,Business Services,,"['Doug\xa0Tudor ', 'Nick\xa0Mansour']",[],[],579.0
18,Jim Southern Search Fund 2  ,Traditional,,"Fort Worth, TX, United States",Acquired,Mastercraft Homes,1998-01-01,688,,,Construction,"Florida, United States",['Jim\xa0Southern'],[],[],
19,Ancora Capital ,Traditional,1997-01-01,San Mateo,Acquired,ANCORA PRESORT PARTNERS,1998-01-01,673,,,Business Services,"Los Angeles, CA, United States","['Jeff\xa0Stevens', 'Gerald\xa0Chew']",[],[],365.0
20,Gulf Search Capital  ,Self Funded,2012-06-06,"New Orleans, LA, United States",Acquired,"Hammerman & Gainer, Inc.",1999-01-01,63,http://www.gulfsearchcapital.com/,http://hgi.global/,Insurance,"New Orleans, LA, United States","['Patrick\xa0Mansfield', 'Larry\xa0Oney ', 'David\xa0Cusimano ']",[],[],-4905.0
21,Al Kapoor - Search Fund  ,Traditional,1997-06-01,"Boston, MA, United States",Acquired,Syntec Custom Injection Molders (now Syntec Optics),1999-02-01,557,inactive: http://www.millenniumv.com/our-firm/history/,https://syntecoptics.com/,Business Services,"Pavilion, NY, United States",['Al\xa0Kapoor '],"['Howard\xa0Stevenson ', 'Craig\xa0Burr ']",[],610.0
22,Gregory Mazur  ,Self Funded,1997-06-01,"Boston, MA, United States",Acquired,Great Eastern Premium Pet Food,1999-03-01,410,,,Wholesale,"Hyde Park, MA",['Gregory\xa0Mazur '],[],[],638.0
23,First American Records Management Company (FARM)  ,Traditional,1997-01-01,"Palo Alto, CA, USA",Acquired,Iron Mountain (information management),1999-04-01,1024,,https://www.ironmountain.com/,,"Boston, MA, USA","['Ken\xa0Saxon ', 'Tom\xa0Bird ']",['Will\xa0Thorndike'],[],820.0
24,Circle Point Capital Corporation  ,Traditional,1996-05-01,"Menlo Park, CA, United States",Inactive,,1999-12-01,422,,,,,['Dale\xa0Blocher'],[],[],1309.0
25,Tony Distefano Search Fund  ,Traditional,1999-01-01,"Orinda, CA, USA",Acquired,Arrival Communications,2000-03-01,1023,,https://www.linkedin.com/in/tony-distefano-a0a14524/,Business Services,"Bakersfield, CA, USA",['Tony\xa0Distefano '],['Will\xa0Thorndike'],[],425.0
26,Falck Holt  ,Traditional,1998-06-01,"Seattle, WA, United States",Acquired,Brandrud Furniture (acquired by Herman Miller),2000-09-01,489,http://www.falckholt.com/,,Wholesale,"Seattle, WA, United States","['Lee\xa0Falck', 'Bobby\xa0Holt ']","['Rob\xa0Marks ', 'David\xa0Niemiec ', 'Rick\xa0Stratford']",[],823.0
27,Rockwood Equity  ,Self Funded,1999-01-01,"New York, NY, United States",Acquired,"Hunter Manufacturing Co. (now, HDT Global)",2000-10-01,389,http://www.rockwoodequity.com/,http://www.hdtglobal.com/,Manufacturing,"Solon, OH ",['Brett\xa0Keith '],[],[],639.0
28,Blackford Capital  Harvard University - Harvard Business School,Traditional,2000-06-01,"Grand Rapids, MI, United States",Acquired,Quality Imaging Products,2001-01-01,260,http://www.blackfordcapital.com/,http://www.knokko.com/qip/1_board.html,Finance,"Orange County, CA, United States",['Martin\xa0Stein'],"['Craig\xa0Burr ', 'Bill\xa0Egan ', 'John\xa0Gaylord ', 'Linc\xa0Holland ', 'Greg\xa0Kaufman ', 'Carl\xa0Martignetti ', 'David\xa0Morrison ', ""Michael F\xa0O'Connell"", 'Adrian\xa0Slywotzky ', 'Tim\xa0Solso ', 'Jim\xa0Southern', 'Al\xa0Weatherhead ', 'Jonathan\xa0West ', 'Steven\xa0Wheelwright']",[],214.0
