,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
0,Nova Capital  ,Single Sponsor,1984-01-01,"Boston, MA, United States",Acquired,Uniform Printing,1984-01-01,420,,,Business Services,"Fort Worth, TX, United States",'Jim Southern','Irv Grousbeck',,0,-71.0582912,42.3602534,32.753177,-97.3327459,1576.275405004834
1,Galena Corp  Harvard University - Harvard Business School,Traditional,1985-06-01,"Palo Alto, CA, United States",Acquired,"Alta Colleges, Inc.",1987-06-01,496,,,Consumer Services,"Denver, CO, United States","'Jamie Turner ', 'Kirk Riedinger'",'Rob Johnson ',,730,-122.1598465,37.4443293,39.7392364,-104.9848623,939.4586908799
2,Hanover West  ,Traditional,1986-01-01,"Washington, DC, United States",Acquired,Atlas Container Corporation,1988-11-01,501,,http://atlascontainer.com/,Manufacturing,"Severn, MD, United States","'Paul Centenari ', 'Peter Centenari '",,,1035,-77.0365581,38.8949924,39.1278864,-76.6869128,24.724446419773134
3,David Dodson - 1st Fund  Stanford University - Graduate School of Business,Traditional,1987-06-01,"Stanford, CA, United States",Acquired,Smith Alarm Systems,1989-01-01,418,,,Business Services,,'David Dodson',"'Bill Egan ', 'Mark Egan ', 'Jim Southern'",,580,-122.17029258409188,37.4265407,NaN,NaN,NaN
4,Balkin Corp  Stanford University,Traditional,1991-01-01,"Redwood City, CA, United States",Acquired,Western Cable Systems,1991-01-01,430,,,Utilities,"San Francisco, CA, United States",'Jeff Stevens',,,0,-122.232523,37.4863239,37.7790262,-122.419906,22.674433169601336
5,Braden Partners  ,Traditional,1990-01-01,"Palo Alto, CA, United States",Acquired,Med-Mart now known as Pacific Pulmonary Services,1993-01-01,415,,http://www.ppsc.com/,Healthcare,"Novato, California, United States","'Peter Kelly', 'Leon Winters', 'Paul White '",'Will Thorndike',,1096,-122.1598465,37.4443293,38.1061979,-122.5681191,50.87669972907448
6,Sverica International  ,Traditional,1993-01-01,"San Francisco, CA, United States",Acquired,Cameraworld.com,1994-01-01,579,sverica.com,,Retail,Portland,"'Sandro Mina', 'Martin Steber', 'Gunnar Bjorklund ', 'Nick Babchuk '",,,365,-122.419906,37.7790262,45.5202471,-122.6741949,535.0276926128224
7,Pathfinder Capital  ,Self Funded,1993-03-01,"Toronto, ON, Canada",Acquired,Chapters Inc (formed from buyouts of SmithBooks in 1994 and Coles in 1995 (Canada’s two largest book retailers),1994-01-01,419,,https://www.chapters.indigo.ca/en-ca/,Retail,"Etobicoke, Toronto, Ontario, Canada","'Larry Stevenson ', 'Harry Yanowitz ', 'Pamela (Spielmann) Stevenson'",,,306,-79.3839347,43.6534817,43.6435559,-79.5656326,9.109861793586282
8,Amersham Corp.  Harvard University - Harvard Business School,Traditional,1993-06-01,"Van Nuys, CA",Acquired,"Terry Hinge & Hardware, dba Terry Industrial",1994-01-01,407,,,Manufacturing,"Van Nuys, CA",'Andrew Cousin','Jim Southern',,214,-118.4486669,34.1866193,34.1866193,-118.4486669,0.0
9,Simon Webster Search Fund  ,Traditional,1991-01-01,"London, United Kingdom",Acquired,RSL,1994-01-01,679,,http://rslsteeper.com/,Healthcare,"London, United Kingdom",'Simon Webster',,,1096,-0.1276474,51.5073219,51.5073219,-0.1276474,0.0
