NAME,Ease of Business ,Growth,Size,Total Ranking,CSAFP,MSA,GEOID,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Total Businesses,10-19 employees,5-9 employees,20-49 employees,50-99 employees,# Searchers,#WFM+AAPL+SBUX,Per Capita,# Transactions
"Indianapolis-Carmel-Anderson, IN",80,149,35.5,23,294,26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",M1,1,G3110,11153902628,88473175,39.74867,-86.2123823,2018,32112,43206,971149,964226,3758,8.716,3574,8.29,126197,34347,91850,3.562,13.088,112197,39282,72915,4.074,11.636,14000,1.452,23.272,2398,2564,22727,287798,1518,1518,1518,1518,0,102,4.9167597,
"Fort Collins, CO",99,22,151.5,26,,22660,22660,"Fort Collins, CO Metro Area",M1,1,G3110,6723025059,99007869,40.6580933,-105.4867638,2018,8651,9752,127969,127184,1025,10.625,815,8.448,16497,5521,10976,4.341,12.971,14976,4766,10210,3.747,11.775,1521,1.196,23.55,626,643,3087,66837,1097,1097,1097,1097,1,30,3.8867605,
"Las Vegas-Henderson-Paradise, NV",150,53.5,91,33,332,29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",M1,1,G3110,20439276974,438416032,36.2142575,-115.013812,2018,32021,41115,900312,890619,5178,12.753,4155,10.233,118090,43351,74739,4.868,13.259,98791,31988,66803,3.592,11.092,19299,2.167,22.185,3049,3131,18643,283879,1439,1439,1439,1439,0,201,8.6727649,
"Des Moines-West Des Moines, IA",217,47.5,44.5,40,218,19780,19780,"Des Moines-West Des Moines, IA Metro Area",M1,1,G3110,9356098870,83568330,41.5770501,-93.7597124,2018,11879,15192,350581,346535,1458,9.722,1067,7.115,38564,11687,26877,3.373,11.128,30625,9150,21475,2.64,8.838,7939,2.291,17.675,761,786,4227,102381,1193,1193,1193,1193,0,31,4.4066703,
"Lexington-Fayette, KY",99,118.5,92.5,41,336,30460,30460,"Lexington-Fayette, KY Metro Area",M1,1,G3110,3807060726,37170433,38.1028763,-84.4385451,2018,9337,11471,232079,231334,878,7.656,873,7.612,24665,7552,17113,3.265,10.662,23550,8654,14896,3.741,10.18,1115,0.482,20.36,635,654,5895,74872,1146,1146,1146,1146,0,28,5.5707092,
"Reno, NV",157,81,103.5,46,456,39900,39900,"Reno, NV Metro Area",M1,1,G3110,17042460297,584618557,40.5007953,-119.7311608,2018,9829,11575,209504,206222,1160,10.086,1012,8.799,29000,8299,20701,4.024,14.063,22450,6259,16191,3.035,10.886,6550,3.176,21.773,714,731,4035,77738,1189,1189,1189,1189,0,38,8.079949,
"Asheville, NC",42.5,92.5,173.5,39,120,11700,11700,"Asheville, NC Metro Area",M1,1,G3110,5264448603,21769667,35.5956693,-82.6816145,2018,10022,11781,179077,175461,1174,10.064,943,8.084,23571,8019,15552,4.57,13.434,16228,4942,11286,2.817,9.249,7343,4.185,18.498,701,712,3061,80040,1142,1142,1142,1142,0,21,4.676456,
"Naples-Marco Island, FL",16.5,24.5,156.5,12,163,34940,34940,"Naples-Marco Island, FL Metro Area",M1,1,G3110,5172045734,797817705,26.118786,-81.4009553,2018,9644,10766,139580,139134,1257,11.814,1004,9.437,16249,5923,10326,4.257,11.679,15482,4861,10621,3.494,11.127,767,0.551,22.255,779,786,3427,74864,1044,1044,1044,1044,0,18,4.5760424,
"Richmond, VA",119.5,104.5,51,27,,40060,40060,"Richmond, VA Metro Area",M1,1,G3110,11300921951,330735784,37.4113241,-77.4418164,2018,23023,29396,562766,555398,2510,8.564,2334,7.964,72056,22107,49949,3.98,12.974,57462,18500,38962,3.331,10.346,14594,2.628,20.692,1644,1675,10172,193772,1385,1385,1385,1385,,66,5.1087545,2
"Madison, WI",165.5,78,52.5,34,357,31540,31540,"Madison, WI Metro Area",M1,1,G3110,8569686237,200251850,43.0842941,-89.5971796,2018,12818,15777,341417,338336,1171,7.432,1129,7.166,35562,8202,27360,2.424,10.511,29678,8987,20691,2.656,8.772,5884,1.739,17.544,816,844,4788,102960,1258,1258,1258,1258,0,20,3.0081295,1
