,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates
0,Nova Capital  ,Single Sponsor,19840101,"Boston, MA, United States",Acquired,Uniform Printing,19840101,420,,,Business Services,"Fort Worth, TX, United States",['Jim\xa0Southern'],['Irv\xa0Grousbeck'],[]
1,Galena Corp  Harvard University - Harvard Business School,Traditional,19850601,"Palo Alto, CA, United States",Acquired,"Alta Colleges, Inc.",19870601,496,,,Consumer Services,"Denver, CO, United States","['Jamie\xa0Turner ', 'Kirk\xa0Riedinger']",['Rob\xa0Johnson '],[]
2,Hanover West  ,Traditional,19860101,"Washington, DC, United States",Acquired,Atlas Container Corporation,19881101,501,,http://atlascontainer.com/,Manufacturing,"Severn, MD, United States","['Paul\xa0Centenari ', 'Peter\xa0Centenari ']",[],[]
3,David Dodson - 1st Fund  Stanford University - Graduate School of Business,Traditional,19870601,"Stanford, CA, United States",Acquired,Smith Alarm Systems,19890101,418,,,Business Services,,['David\xa0Dodson'],"['Bill\xa0Egan ', 'Mark\xa0Egan ', 'Jim\xa0Southern']",[]
4,Balkin Corp  Stanford University,Traditional,19910101,"Redwood City, CA, United States",Acquired,Western Cable Systems,19910101,430,,,Utilities,"San Francisco, CA, United States",['Jeff\xa0Stevens'],[],[]
5,Braden Partners  ,Traditional,19900101,"Palo Alto, CA, United States",Acquired,Med-Mart now known as Pacific Pulmonary Services,19930101,415,,http://www.ppsc.com/,Healthcare,"Novato, California, United States","['Peter\xa0Kelly', 'Leon\xa0Winters', 'Paul\xa0White ']",['Will\xa0Thorndike'],[]
6,Sverica International  ,Traditional,19930101,"San Francisco, CA, United States",Acquired,Cameraworld.com,19940101,579,sverica.com,,Retail,Portland,"['Sandro\xa0Mina', 'Martin\xa0Steber', 'Gunnar\xa0Bjorklund ', 'Nick\xa0Babchuk ']",[],[]
7,Pathfinder Capital  ,Self Funded,19930301,"Toronto, ON, Canada",Acquired,Chapters Inc (formed from buyouts of SmithBooks in 1994 and Coles in 1995 (Canada’s two largest book retailers),19940101,419,,https://www.chapters.indigo.ca/en-ca/,Retail,"Etobicoke, Toronto, Ontario, Canada","['Larry\xa0Stevenson ', 'Harry\xa0Yanowitz ', 'Pamela\xa0(Spielmann) Stevenson']",[],[]
8,Amersham Corp.  Harvard University - Harvard Business School,Traditional,19930601,"Van Nuys, CA",Acquired,"Terry Hinge & Hardware, dba Terry Industrial",19940101,407,,,Manufacturing,"Van Nuys, CA",['Andrew\xa0Cousin'],['Jim\xa0Southern'],[]
9,Simon Webster Search Fund  ,Traditional,19910101,"London, United Kingdom",Acquired,RSL,19940101,679,,http://rslsteeper.com/,Healthcare,"London, United Kingdom",['Simon\xa0Webster'],[],[]
10,Falcon Capital Corp. ,Traditional,19930106,"Stanford, CA, United States",Acquired,"ADAP, Inc",19950106,417,,,Wholesale,"Boston, MA, USA",['David\xa0Dodson'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler']",[]
11,Mill River Corporation ,Traditional,19940101,"Palo Alto, CA, United States",Acquired,Road Rescue Inc. (now Asurion),19950701,423,,http://www.asurion.com/,Business Services,"Houston, TX, United States","['Kevin\xa0Taweel', 'Jim\xa0Ellis']","['Will\xa0Thorndike', 'Michael\xa0De Anda ', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell""]","['Ashley\xa0Giesler', 'Doug\xa0Tudor ', 'Bret\xa0Comolli', 'Gerald\xa0Risk']"
12,Gene Baker Search Fund  ,Traditional,19950101,"Palo Alto, CA, United States",Acquired,Hudson Bend Corp.,19960101,421,,,Manufacturing,"Oakland, CA, United States",['Gene\xa0Baker '],[],[]
13,Sansair Corporation  ,Traditional,19910909,"Palo Alto, CA, United States",Acquired,Carillon Assisted Living,19960101,558,,http://www.carillonassistedliving.com/,Healthcare,"Raleigh, NC 27606, United States",['Karen\xa0Moriarty'],"['Will\xa0Thorndike', 'Jim\xa0Southern', 'Bill\xa0Egan ']",[]
14,"Redwood Partners, Inc.  ",Traditional,19940401,"Los Angeles, CA, USA",Acquired,"Classic Party Rentals, Inc. (formerly Event Rentals, Inc)",19960101,958,,,Consumer Services,"Los Angeles, CA, USA",['John\xa0Moran '],['Will\xa0Thorndike'],[]
15,The Nexus Group  ,Traditional,19950101,"Salt Lake City, UT, USA",Acquired,retail stores,19970101,807,,,Retail,,['Doug\xa0Wells'],[],[]
16,Russell Poore  ,Self Funded,19961001,"Salt Lake City, UT, United States",Acquired,US Shred,19980101,416,,,Business Services,"AZ, USA",['Russell\xa0Poore '],[],[]
17,Presidio Partners  ,Traditional,19960601,"San Francisco, CA, United States",Acquired,Clear Creek Environmental,19980101,268,,,Business Services,,"['Doug\xa0Tudor ', 'Nick\xa0Mansour']",[],[]
18,Jim Southern Search Fund 2  ,Traditional,,"Fort Worth, TX, United States",Acquired,Mastercraft Homes,19980101,688,,,Construction,"Florida, United States",['Jim\xa0Southern'],[],[]
19,Ancora Capital ,Traditional,19970101,San Mateo,Acquired,ANCORA PRESORT PARTNERS,19980101,673,,,Business Services,"Los Angeles, CA, United States","['Jeff\xa0Stevens', 'Gerald\xa0Chew']",[],[]
20,Gulf Search Capital  ,Self Funded,20120606,"New Orleans, LA, United States",Acquired,"Hammerman & Gainer, Inc.",19990101,63,http://www.gulfsearchcapital.com/,http://hgi.global/,Insurance,"New Orleans, LA, United States","['Patrick\xa0Mansfield', 'Larry\xa0Oney ', 'David\xa0Cusimano ']",[],[]
21,Al Kapoor - Search Fund  ,Traditional,19970601,"Boston, MA, United States",Acquired,Syntec Custom Injection Molders (now Syntec Optics),19990201,557,inactive: http://www.millenniumv.com/our-firm/history/,https://syntecoptics.com/,Business Services,"Pavilion, NY, United States",['Al\xa0Kapoor '],"['Howard\xa0Stevenson ', 'Craig\xa0Burr ']",[]
22,Gregory Mazur  ,Self Funded,19970601,"Boston, MA, United States",Acquired,Great Eastern Premium Pet Food,19990301,410,,,Wholesale,"Hyde Park, MA",['Gregory\xa0Mazur '],[],[]
23,First American Records Management Company (FARM)  ,Traditional,19970101,"Palo Alto, CA, USA",Acquired,Iron Mountain (information management),19990401,1024,,https://www.ironmountain.com/,,"Boston, MA, USA","['Ken\xa0Saxon ', 'Tom\xa0Bird ']",['Will\xa0Thorndike'],[]
24,Circle Point Capital Corporation  ,Traditional,19960501,"Menlo Park, CA, United States",Inactive,,19991201,422,,,,,['Dale\xa0Blocher'],[],[]
25,Tony Distefano Search Fund  ,Traditional,19990101,"Orinda, CA, USA",Acquired,Arrival Communications,20000301,1023,,https://www.linkedin.com/in/tony-distefano-a0a14524/,Business Services,"Bakersfield, CA, USA",['Tony\xa0Distefano '],['Will\xa0Thorndike'],[]
26,Falck Holt  ,Traditional,19980601,"Seattle, WA, United States",Acquired,Brandrud Furniture (acquired by Herman Miller),20000901,489,http://www.falckholt.com/,,Wholesale,"Seattle, WA, United States","['Lee\xa0Falck', 'Bobby\xa0Holt ']","['Rob\xa0Marks ', 'David\xa0Niemiec ', 'Rick\xa0Stratford']",[]
27,Rockwood Equity  ,Self Funded,19990101,"New York, NY, United States",Acquired,"Hunter Manufacturing Co. (now, HDT Global)",20001001,389,http://www.rockwoodequity.com/,http://www.hdtglobal.com/,Manufacturing,"Solon, OH ",['Brett\xa0Keith '],[],[]
28,Blackford Capital  Harvard University - Harvard Business School,Traditional,20000601,"Grand Rapids, MI, United States",Acquired,Quality Imaging Products,20010101,260,http://www.blackfordcapital.com/,http://www.knokko.com/qip/1_board.html,Finance,"Orange County, CA, United States",['Martin\xa0Stein'],"['Craig\xa0Burr ', 'Bill\xa0Egan ', 'John\xa0Gaylord ', 'Linc\xa0Holland ', 'Greg\xa0Kaufman ', 'Carl\xa0Martignetti ', 'David\xa0Morrison ', ""Michael F\xa0O'Connell"", 'Adrian\xa0Slywotzky ', 'Tim\xa0Solso ', 'Jim\xa0Southern', 'Al\xa0Weatherhead ', 'Jonathan\xa0West ', 'Steven\xa0Wheelwright']",[]
29,Mike and Linda Katz ,Self Funded,20000202,"Boston, MA, United States",Acquired,Molded Dimensions,20010101,414,,http://www.moldeddimensions.com/,Business Services,"Port Washington, WI, United States","['Linda\xa0Katz ', 'Mike\xa0Katz ']",[],[]
30,Jim Southern Search Fund 3  ,Traditional,20000101,"Florida, United States",Acquired,Continental Fire & Safety Services,20010101,689,,http://continentalfireandsafety.com/,Business Services,"Rockville, MD, United States","['Jim\xa0Southern', 'Scott\xa0Sheaffer']",['Will\xa0Thorndike'],[]
31,Aragon Capital  London Business School,Traditional,19980108,"London, United Kingdom",Acquired,AP Benson/FamilyGenetix,20010301,429,,http://www.apbenson.com,Business Services,"London, United Kingdom",['Tom\xa0Girn '],[],[]
32,Pratap Mukherjee & Brian Haas Serach Fund  ,Traditional,20000101,"Palo Alto, CA, USA",Acquired,Beacon Fire & Safety,20011001,1022,,https://www.cintas.com/fire-protection-services/,Business Services,"San Francisco, CA, USA","['Pratap\xa0Mukherjee', 'Brian\xa0Haas ']",['Will\xa0Thorndike'],[]
33,Michael Sanabria Search Fund  ,Self Funded,20021101,"Santa Rosa, CA, United States",Acquired,Impress Northwestern,20021111,682,,http://www.thegoodeco.com,Business Services,"Santa Rosa, CA, United States",['Michael\xa0Sanabria'],[],[]
34,SC Ventures  ,Traditional,20011101,"New York, NY, United States",Acquired,Affinitel,20030101,568,http://www.scven.com,http://www.affinitel.com/,Utilities,"San Francisco, CA 94105, United States",['Pankaj\xa0Amin'],['Elaine\xa0Boxer '],[]
35,Montebello Capital  ,Traditional,20010101,"Cupertino, CA, United States",Acquired,Aero Logistics,20030101,411,,http://www.aero-logistics.net,Transportation,"Monroeville, PA, United States","['John\xa0Fowler ', 'Josh\xa0Greenberg ']",[],[]
36,Teton Industries  ,Traditional,20020101,"Arlington, WA",Acquired,CheckSum,20030101,270,http://www.tetonindustries.com/,http://www.checksum.com/,Business Services,"Arlington, WA, United States",['John\xa0VanNewkirk '],"['Craig\xa0Burr ', 'Bill\xa0Egan ', 'Hiroshi\xa0Mikitani ', ""Michael F\xa0O'Connell"", 'Howard\xa0Stevenson ', 'Steven\xa0Wheelwright']",[]
37,Genesis Ventures  ,Self Funded,19960601,"Pasadena, CA, United States",Acquired,Crossman Manufacturing,20030101,498,,http://www.crossmanmfg.com/,Manufacturing,"Ontario, CA, USA",['Yosufi\xa0Tyebkhan '],[],[]
38,"Crystal Springs Capital, LLC  ",Traditional,20010701,"San Bruno, CA, USA",Acquired,"ServiceSource International, LLC",20030101,478,,http://www.servicesource.com/,Business Services,"San Francisco, CA, United States","['David\xa0Kennedy  ', 'Mike\xa0Smerklo']","['Tom\xa0Cassutt', 'David\xa0Lazier']",[]
39,Mirablau Equity & Services GmbH  ,Self Funded,20020101,"Munich, Germany",Acquired,Grundig Business Systems,20030202,362,http://www.mira-blau.com/,http://www.grundig-gbs.com/,Business Services,"Hertfordshire, United Kingdom",['Jürgen\xa0Rilling '],[],[]
40,Julie Ha,Traditional,20020601,"Palo Alto, CA, United States",Acquired,Clarita Career College,20030228,413,,,Consumer Services,"Santa Clarita, CA, United States",['Julie\xa0Ha '],[],[]
41,Leader Creek Partners  ,Traditional,20020801,"Eugene, OR, United States",Acquired,Jody Coyote (renamed Oak Patch Gifts),20030801,509,,http://www.oakpatchgifts.com/Scripts/PublicSite/,Manufacturing,"Eugene, OR, United States","['Chris\xa0Cunning', 'Peter\xa0Day']","['Andy\xa0Dale', 'Daniel\xa0Campbell', 'J.T.\xa0Fitzgerald']",[]
42,Dionis Company  ,Traditional,20020101,"San Mateo, CA, United States",Acquired,Liberty Fitness,20040101,674,,,Consumer Services,"San Mateo, CA, United States",['Jeff\xa0Stevens'],[],[]
43,Eventide Management  Colgate University,Traditional,20030101,"New York, NY, United States",Acquired,Southern California Risk Management and Medical Audit and Management,20040618,35,,,Insurance,"Orange County, CA, United States","['Rick\xa0Taketa', 'Ken\xa0Alston']",[],[]
44,AP Capital Partners  ,Traditional,20030101,"Orlando, FL, United States",Acquired,ZeroChaos,20041201,425,http://www.apcpartners.com/,http://www.zerochaos.com/,Software,"Orlando, FL, United States","['Richard\xa0Powell', 'Frantz\xa0Alphonse ']",[],[]
45,"Rabbit Creek Partners, LLC  ",Traditional,20030601,"Boston, MA, United States",Acquired,Acken Signs,20041201,432,,,Manufacturing,"Bluefield, VA, United States",['Doren\xa0Spinner '],"['Jim\xa0Sharpe', 'Larry\xa0Lepard']",[]
46,Access CIG  ,Single Sponsor,20040301,"Palo Alto, CA, United States",Acquired,RecordXpress,20041201,559,https://informationprotected.com/,http://InformationProtected.com,Business Services,"Livermore, CA, United States",['Dennis\xa0Barnedt '],"['Aaron\xa0Gabbart', 'Joel\xa0Peterson', 'Will\xa0Thorndike']",[]
47,"Liffey Thames Group, LLC  ",Traditional,20020601,"San Francisco, CA, United States",Acquired,"SFL Data, Inc. (now known as Discovia)",20041201,443,,https://www.discovia.com/,Business Services,"San Francisco, CA, United States","['Christian\xa0Lawrence', 'Ciaran\xa0Power']","['Jim\xa0Southern', 'Coley\xa0Andrews', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Todd\xa0Tracey']",[]
48,Altos Andes  ,Traditional,20030101,Chile,Acquired,Glasstech S.A. (auto glass systems),20050101,984,,http://www.glasstech.com,Manufacturing,Chile,['Carlos\xa0Fell '],"['Cristóbal\xa0Lira ', 'Guillermo\xa0Agüero ', 'Sergio\xa0Gutiérrez ', 'Luis\xa0Chadwick ']",[]
49,Argo Investors LLC  Princeton University,Traditional,20021201,"Bothell, WA, United States",Acquired,FWH (Fast Water Heater) Acquisition Co. LLC,20050101,346,,,Consumer Services,"Bothell, WA, United States",['Jason\xa0Hanleybrown'],"['Chris\xa0Carter ', ""John\xa0O'Connell"", 'Neil\xa0Russell Foster ', 'Debbie\xa0Ivy ', ""Michael F\xa0O'Connell"", 'Bill\xa0Reid ', 'Todd\xa0Sandoz ', 'Paul\xa0Huber ', 'Jerry\xa0Ivy ', 'Jeffrey\xa0David Jordan ']",[]
